"iteration","BestAccuracy","BestKernal","BestNu","BestEpsilon"
"1","99.4","polydot","0.317978880601004","0.321120504522696"
"2","99.4","polydot","0.317978880601004","0.321120504522696"
"3","99.4","polydot","0.317978880601004","0.321120504522696"
"4","99.4","polydot","0.317978880601004","0.321120504522696"
"5","99.4","polydot","0.317978880601004","0.321120504522696"
"6","99.4","polydot","0.317978880601004","0.321120504522696"
"7","99.4","polydot","0.317978880601004","0.321120504522696"
"8","99.4","polydot","0.317978880601004","0.321120504522696"
"9","99.53","anovadot","0.0437531450297683","0.775772524066269"
"10","99.53","anovadot","0.0437531450297683","0.775772524066269"
"11","99.53","anovadot","0.0437531450297683","0.775772524066269"
"12","99.53","anovadot","0.0437531450297683","0.775772524066269"
"13","99.53","anovadot","0.0437531450297683","0.775772524066269"
"14","99.53","anovadot","0.0437531450297683","0.775772524066269"
"15","99.53","anovadot","0.0437531450297683","0.775772524066269"
"16","99.53","anovadot","0.0437531450297683","0.775772524066269"
"17","99.53","anovadot","0.0437531450297683","0.775772524066269"
"18","99.53","anovadot","0.0437531450297683","0.775772524066269"
"19","99.53","anovadot","0.0437531450297683","0.775772524066269"
"20","99.53","anovadot","0.0437531450297683","0.775772524066269"
"21","99.53","anovadot","0.0437531450297683","0.775772524066269"
"22","99.53","anovadot","0.0437531450297683","0.775772524066269"
"23","99.53","anovadot","0.0437531450297683","0.775772524066269"
"24","99.53","anovadot","0.0437531450297683","0.775772524066269"
"25","99.53","anovadot","0.0437531450297683","0.775772524066269"
"26","99.53","anovadot","0.0437531450297683","0.775772524066269"
"27","99.53","anovadot","0.0437531450297683","0.775772524066269"
"28","99.53","anovadot","0.0437531450297683","0.775772524066269"
"29","99.53","anovadot","0.0437531450297683","0.775772524066269"
"30","99.53","anovadot","0.0437531450297683","0.775772524066269"
"31","99.53","anovadot","0.0437531450297683","0.775772524066269"
"32","99.53","anovadot","0.0437531450297683","0.775772524066269"
"33","99.53","anovadot","0.0437531450297683","0.775772524066269"
"34","99.53","anovadot","0.0437531450297683","0.775772524066269"
"35","99.53","anovadot","0.0437531450297683","0.775772524066269"
"36","99.53","anovadot","0.0437531450297683","0.775772524066269"
"37","99.53","anovadot","0.0437531450297683","0.775772524066269"
"38","99.53","anovadot","0.0437531450297683","0.775772524066269"
"39","99.53","anovadot","0.0437531450297683","0.775772524066269"
"40","99.53","anovadot","0.0437531450297683","0.775772524066269"
"41","99.53","anovadot","0.0437531450297683","0.775772524066269"
"42","99.53","anovadot","0.0437531450297683","0.775772524066269"
"43","99.53","anovadot","0.0437531450297683","0.775772524066269"
"44","99.53","anovadot","0.0437531450297683","0.775772524066269"
"45","99.53","anovadot","0.0437531450297683","0.775772524066269"
"46","99.53","anovadot","0.0437531450297683","0.775772524066269"
"47","99.53","anovadot","0.0437531450297683","0.775772524066269"
"48","99.53","anovadot","0.0437531450297683","0.775772524066269"
"49","99.53","anovadot","0.0437531450297683","0.775772524066269"
"50","99.53","anovadot","0.0437531450297683","0.775772524066269"
"51","99.53","anovadot","0.0437531450297683","0.775772524066269"
"52","99.53","anovadot","0.0437531450297683","0.775772524066269"
"53","99.53","anovadot","0.0437531450297683","0.775772524066269"
"54","99.53","anovadot","0.0437531450297683","0.775772524066269"
"55","99.53","anovadot","0.0437531450297683","0.775772524066269"
